This file lists functions and variables removed from l3kernel.
Functions which were added with 'experimental' status only are
not listed. The 'Date removed' and 'SVN' columns detail when the
functions are removed from the standard DocStrip extraction for
l3kernel.

Function                                      Date removed     SVN
------------------------------------------------------------------

\c_active_char_token                            2011-09-08    2785
\c_alignment_tab_token                          2011-09-08    2785
\c_empty_toks                                   2011-09-08    2785
\c_letter_token                                 2011-09-08    2785
\c_math_shift_token                             2011-09-08    2785
\c_other_char_token                             2011-09-08    2785
\char_make_active:N                             2011-09-08    2785
\char_make_active:n                             2011-09-08    2785
\char_make_alignment_tab:N                      2011-09-08    2785
\char_make_alignment_tab:n                      2011-09-08    2785
\char_make_begin_group:N                        2011-09-08    2785
\char_make_begin_group:n                        2011-09-08    2785
\char_make_comment:N                            2011-09-08    2785
\char_make_comment:n                            2011-09-08    2785
\char_make_end_group:N                          2011-09-08    2785
\char_make_end_group:n                          2011-09-08    2785
\char_make_end_line:N                           2011-09-08    2785
\char_make_end_line:n                           2011-09-08    2785
\char_make_escape:N                             2011-09-08    2785
\char_make_escape:n                             2011-09-08    2785
\char_make_ignore:N                             2011-09-08    2785
\char_make_ignore:n                             2011-09-08    2785
\char_make_invalid:N                            2011-09-08    2785
\char_make_invalid:n                            2011-09-08    2785
\char_make_letter:N                             2011-09-08    2785
\char_make_letter:n                             2011-09-08    2785
\char_make_math_shift:N                         2011-09-08    2785
\char_make_math_shift:n                         2011-09-08    2785
\char_make_math_subscript:N                     2011-09-08    2785
\char_make_math_subscript:n                     2011-09-08    2785
\char_make_math_superscript:N                   2011-09-08    2785
\char_make_math_superscript:n                   2011-09-08    2785
\char_make_other:N                              2011-09-08    2785
\char_make_other:n                              2011-09-08    2785
\char_make_parameter:N                          2011-09-08    2785
\char_make_parameter:n                          2011-09-08    2785
\char_make_space:N                              2011-09-08    2785
\char_make_space:n                              2011-09-08    2785
\char_set_catcode:w                             2011-09-08    2785
\char_set_lccode:w                              2011-09-08    2785
\char_set_mathcode:w                            2011-09-08    2785
\char_set_sfcode:w                              2011-09-08    2785
\char_set_uccode:w                              2011-09-08    2785
\char_show_value_catcode:w                      2011-09-08    2785
\char_show_value_lccode:w                       2011-09-08    2785
\char_show_value_mathcode:w                     2011-09-08    2785
\char_show_value_sfcode:w                       2011-09-08    2785
\char_show_value_uccode:w                       2011-09-08    2785
\char_value_catcode:w                           2011-09-08    2785
\char_value_lccode:w                            2011-09-08    2785
\char_value_mathcode:w                          2011-09-08    2785
\char_value_sfcode:w                            2011-09-08    2785
\char_value_uccode:w                            2011-09-08    2785
\clist_display:c                                2011-09-08    2785
\clist_display:N                                2011-09-08    2785
\clist_gremove_element:Nn                       2011-09-08    2785
\clist_remove_element:Nn                        2011-09-08    2785
\clist_top:cN                                   2011-09-08    2785
\cs_gnew_eq:cc                                  2011-09-08    2785
\cs_gnew_eq:cN                                  2011-09-08    2785
\cs_gnew_eq:Nc                                  2011-09-08    2785
\cs_gnew_nopar:cpn                              2011-09-08    2785
\cs_gnew_nopar:cpx                              2011-09-08    2785
\cs_gnew_nopar:Npn                              2011-09-08    2785
\cs_gnew_nopar:Npx                              2011-09-08    2785
